sid,link_name,borough,treatment_group,signed_min_distance_m,signed_max_distance_m,nearest_boundary_line_m,wholly_north_of_boundary,geometry_source,metric,polyline
56052,57th Street - Westbound - 7th Ave to Broadway,Manhattan,treated,-348.16317866541056,-343.4598039739295,343.4598039739295,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_`ywF|epbM_DxJ
58039,9th Avenue - Southbound - 57th St to 49th St,Manhattan,treated,-989.0117566391866,-344.289620597799,344.289620597799,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,onywFviqbMt^bV
19056,57th Street - Westbound - 6th Ave to 7th Ave,Manhattan,treated,-354.0367244550697,-347.1777714242989,347.1777714242989,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,qxxwFdtobMoFvP
77058,57th Street - Eastbound - 10th Ave (Amsterdam Ave) to 9th Ave (Columbus Ave),Manhattan,treated,-354.1339685905558,-347.2750155605673,347.2750155605673,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ouywFx{qbMnFwP
38054,8th Avenue - Northbound - 49th St to 57th St,Manhattan,treated,-994.4930844160286,-351.14857362817884,351.14857362817884,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kgxwF`oqbM}B{A}B{A{ByA}B{A{ByA}B}A}ByAeCaB
16019,57th Street - Westbound - 5th Ave to 6th Ave,Manhattan,treated,-362.3510980492867,-355.022131695357,355.022131695357,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,_pxwF~_obMoGdS
58054,57th Street - Eastbound - 9th Ave to 8th Ave,Manhattan,treated,-361.1841684212663,-355.51159384535123,355.51159384535123,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,}mywFbjqbMjFsP
56037,7th Avenue - Southbound - 57th St to 49th St,Manhattan,treated,-1001.1510662330553,-357.414337431955,357.414337431955,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,q_ywFhfpbMfC`BzBzA~BvAzBzA|BzAzBxA|BzAzB~A
54052,57th Street - Eastbound - 8th Ave to Broadway,Manhattan,treated,-362.9669775737417,-360.9929216205024,360.9929216205024,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ofywFhxpbMtAmE
16013,57th Street - Westbound - Madison Ave to 5th Ave,Manhattan,treated,-366.211690231619,-362.3510980492867,362.3510980492867,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,wkxwF|unbMqAdEu@zB
52056,57th Street - Eastbound - Broadway to 7th Ave,Manhattan,treated,-367.2586854242786,-362.7660063608218,362.7660063608218,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,{cywF~qpbMxCkJ
18019,6th Avenue - Northbound - 49th St to 57th St,Manhattan,treated,-1008.2109904776127,-364.2732904623347,364.2732904623347,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,kxwwFpkpbMyJoGiFgDqKgH
3013,57th Street - Westbound - Lexington Ave to Madison Ave,Manhattan,treated,-373.54065658389965,-366.211690231619,366.211690231619,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,gcxwFvanbM_CpHoCrI
56019,57th Street - Eastbound - 7th Ave to 6th Ave,Manhattan,treated,-373.1322312148044,-367.2586854242786,367.2586854242786,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,a_ywFrfpbMlFwP
16015,5th Avenue - Southbound - 57th St to 49th St,Manhattan,treated,-1014.1623315754891,-372.19544604161024,372.19544604161024,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ooxwFh`obMdC`B|BxAxB`BzB~A`CpAvFtD|BxA
6003,57th Street - Westbound - 3rd Ave to Lexington Ave,Manhattan,treated,-377.2002775533123,-373.54065658389965,373.54065658389965,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,a_xwFxwmbMeC|H
19016,57th Street - Eastbound - 6th Ave to 5th Ave,Manhattan,treated,-381.05438679490413,-374.11763845591605,374.11763845591605,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,qwxwFztobMnGgS
55006,57th Street - Westbound - 2nd Ave to 3rd Ave,Manhattan,treated,-382.5649123674162,-377.00903075380603,377.00903075380603,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,cywwFvimbM{DzL
12013,Madison Avenue - Northbound - 49th St to 57th St,Manhattan,treated,-1018.0229237582548,-379.79669597425396,379.79669597425396,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,ukwwFfmobMk^{U
13016,57th Street - Eastbound - 5th Ave to Madison Ave,Manhattan,treated,-384.9149789768454,-381.05438679490413,381.05438679490413,False,E-Z Pass segment polyline; existing geo.py 60th-St anchors,local equirectangular 40.767deg; infinite 60th-St line; north positive,aoxwFr`obMtAkEp@uB
