week,treatment_group,weekly_median_mph
2024-11-18,crossing,36.20625
2024-11-18,exempt_in_zone,15.634090909090908
2024-11-18,treated,7.799999999999999
2024-11-25,boundary,10.977272727272727
2024-11-25,control,15.337499999999999
2024-11-25,crossing,39.87272727272727
2024-11-25,exempt_in_zone,16.772727272727273
2024-11-25,treated,8.446022727272727
2024-12-02,boundary,9.023863636363636
2024-12-02,control,15.092045454545453
2024-12-02,crossing,36.01534090909091
2024-12-02,exempt_in_zone,19.987499999999997
2024-12-02,treated,7.077272727272726
2024-12-09,boundary,9.16875
2024-12-09,control,14.95056818181818
2024-12-09,crossing,36.799431818181816
2024-12-09,exempt_in_zone,21.001704545454544
2024-12-09,treated,6.859090909090909
2024-12-16,boundary,9.4125
2024-12-16,control,14.904545454545453
2024-12-16,crossing,36.606818181818184
2024-12-16,exempt_in_zone,21.15
2024-12-16,treated,7.242613636363636
2024-12-23,boundary,11.486931818181816
2024-12-23,control,16.01590909090909
2024-12-23,crossing,39.87954545454545
2024-12-23,exempt_in_zone,23.086363636363636
2024-12-23,treated,8.314772727272727
2024-12-30,boundary,11.573863636363637
2024-12-30,control,16.84943181818182
2024-12-30,crossing,40.23579545454545
2024-12-30,exempt_in_zone,22.571590909090908
2024-12-30,treated,8.751136363636363
2025-01-06,boundary,10.984090909090908
2025-01-06,control,16.65
2025-01-06,crossing,38.09659090909091
2025-01-06,exempt_in_zone,22.98409090909091
2025-01-06,treated,9.463636363636363
2025-01-13,boundary,11.134090909090908
2025-01-13,control,16.39431818181818
2025-01-13,crossing,37.07215909090909
2025-01-13,exempt_in_zone,21.966477272727275
2025-01-13,treated,9.388636363636362
2025-01-20,boundary,10.987499999999999
2025-01-20,control,16.537499999999998
2025-01-20,crossing,37.07897727272727
2025-01-20,exempt_in_zone,22.18125
2025-01-20,treated,9.504545454545454
2025-01-27,boundary,10.25625
2025-01-27,control,16.09431818181818
2025-01-27,crossing,37.84772727272727
2025-01-27,exempt_in_zone,21.22840909090909
2025-01-27,treated,9.34090909090909
2025-02-03,boundary,9.928977272727272
2025-02-03,control,15.864204545454545
2025-02-03,crossing,37.96874999999999
2025-02-03,exempt_in_zone,21.46363636363636
2025-02-03,treated,9.16875
2025-02-10,boundary,10.462499999999999
2025-02-10,control,16.227272727272727
2025-02-10,crossing,37.217045454545456
2025-02-10,exempt_in_zone,18.148295454545455
2025-02-10,treated,9.15340909090909
2025-02-17,boundary,11.059090909090909
2025-02-17,control,16.813636363636363
2025-02-17,crossing,39.24374999999999
2025-02-17,exempt_in_zone,19.43693181818182
2025-02-17,treated,9.398863636363636
2025-02-24,boundary,10.70284090909091
2025-02-24,control,16.193181818181817
2025-02-24,crossing,37.06534090909091
2025-02-24,exempt_in_zone,21.26590909090909
2025-02-24,treated,9.371590909090909
2025-03-03,boundary,10.111363636363635
2025-03-03,control,16.16590909090909
2025-03-03,crossing,37.621022727272724
2025-03-03,exempt_in_zone,22.370454545454546
2025-03-03,treated,9.16875
2025-03-10,boundary,10.985795454545453
2025-03-10,control,15.920454545454543
2025-03-10,crossing,38.335227272727266
2025-03-10,exempt_in_zone,23.195454545454545
2025-03-10,treated,8.77840909090909
2025-03-17,boundary,11.474999999999998
2025-03-17,control,15.825
2025-03-17,crossing,38.27556818181818
2025-03-17,exempt_in_zone,23.195454545454545
2025-03-17,treated,8.948863636363637
2025-03-24,boundary,11.227840909090908
2025-03-24,control,16.123295454545453
2025-03-24,crossing,38.01647727272727
2025-03-24,exempt_in_zone,22.864772727272726
2025-03-24,treated,9.013636363636362
2025-03-31,boundary,10.892045454545453
2025-03-31,control,15.49431818181818
2025-03-31,crossing,36.68181818181817
2025-03-31,exempt_in_zone,20.420454545454543
2025-03-31,treated,8.505681818181817
2025-04-07,boundary,10.878409090909091
2025-04-07,control,13.932954545454542
2025-04-07,crossing,35.449431818181814
2025-04-07,exempt_in_zone,21.383522727272727
2025-04-07,treated,8.519318181818182
2025-04-14,boundary,11.348863636363635
2025-04-14,control,14.026704545454544
2025-04-14,exempt_in_zone,19.745454545454542
2025-04-14,treated,8.66931818181818
2025-04-21,boundary,10.469318181818181
2025-04-21,control,14.812499999999998
2025-04-21,crossing,39.308522727272724
2025-04-21,exempt_in_zone,16.598863636363635
2025-04-21,treated,8.188636363636363
2025-04-28,boundary,9.432954545454544
2025-04-28,control,14.93181818181818
2025-04-28,crossing,36.9375
2025-04-28,exempt_in_zone,18.410795454545454
2025-04-28,treated,7.982386363636363
