boundary_hour,tau,se,pct_change,n_obs,n_dates,bandwidth_min,poly_order,sample,is_toll_boundary,is_placebo
5,-0.20116371929071075,0.010557108528258278,-18.222146552823137,2610,435,30,2,weekday,True,False
6,0.05093437583542654,0.0049030309872208555,5.225383773835167,2610,435,30,2,weekday,False,True
7,0.027972159077338854,0.004995343712880944,2.836705333526979,2610,435,30,2,weekday,False,True
8,0.01013689466554269,0.0037726709154117135,1.0188447028649812,2610,435,30,2,weekday,False,True
9,0.003037595468386346,0.0036185968541811403,0.30422136363592617,2610,435,30,2,weekday,False,True
10,-0.01768176120062643,0.0038565206268227573,-1.7526356154056153,2610,435,30,2,weekday,False,True
11,-0.02102538789291107,0.0041591626239996975,-2.080589542117667,2610,435,30,2,weekday,False,True
12,-0.010588445446357607,0.004338456410291053,-1.0532585189476504,2610,435,30,2,weekday,False,True
13,-0.03044943866958499,0.004265627417595765,-2.999052420304657,2610,435,30,2,weekday,False,True
14,-0.01919054946918384,0.004180308368193163,-1.9007583152104965,2610,435,30,2,weekday,False,True
15,0.0051407777931610195,0.0036457153133452463,0.515401426351775,2610,435,30,2,weekday,False,True
16,-0.016136240239079475,0.0035844529957605588,-1.6006748553106853,2610,435,30,2,weekday,False,True
17,-0.036701726758663164,0.0036559606489545565,-3.6036382974542667,2610,435,30,2,weekday,False,True
18,-0.02690230453576615,0.0039605137311545914,-2.654366085207765,2610,435,30,2,weekday,False,True
19,-0.02288509396350743,0.0039342126513566755,-2.2625216416260154,2610,435,30,2,weekday,False,True
20,-0.03462391706822043,0.0042531380653187695,-3.4031367731155004,2610,435,30,2,weekday,False,True
21,0.10135462209504204,0.004577897125537083,10.666902147296701,2610,435,30,2,weekday,True,False
22,-0.005369445084835402,0.004685034992924827,-0.5355055381004045,2610,435,30,2,weekday,False,True
23,-0.015218376982102967,0.005360932722873181,-1.5103162681792726,2610,435,30,2,weekday,False,True
0,0.07517232747687969,0.035228698096930515,7.806991594647457,1044,174,30,2,weekend,False,False
1,-0.01911363006591985,0.008234189040444656,-1.8932122898652897,1044,174,30,2,weekend,False,True
2,-0.13103577711011438,0.061831332173539706,-12.281360936445173,1044,174,30,2,weekend,False,True
3,0.05863405802074291,0.06261176244119498,6.038712956643229,1044,174,30,2,weekend,False,True
4,0.011805543615183822,0.011709879848505458,1.1875504081261234,1044,174,30,2,weekend,False,True
5,0.0229356991884292,0.010821975623391435,2.3200744793622037,1044,174,30,2,weekend,False,True
6,0.06287875505762089,0.008995715433610387,6.489771794136051,1044,174,30,2,weekend,False,True
7,0.09604738087095549,0.01011897738635885,10.081122015273545,1044,174,30,2,weekend,False,True
8,0.04371510097073999,0.007680217491774006,4.468468283519517,1044,174,30,2,weekend,False,True
9,-0.007683085522841694,0.006710724617964567,-0.7653646064804956,1044,174,30,2,weekend,True,False
10,0.038545392475854416,0.008166692085043198,3.929790359226995,1044,174,30,2,weekend,False,True
11,0.010250318002327194,0.007188018466290649,1.0303032471301736,1044,174,30,2,weekend,False,True
12,-4.2464069760831455e-05,0.005713798090310988,-0.004246316817498284,1044,174,30,2,weekend,False,True
13,-0.007196237534698068,0.005731657903944407,-0.7170406616318123,1044,174,30,2,weekend,False,True
14,-0.008061642097057274,0.006290506949113598,-0.8029234205820688,1044,174,30,2,weekend,False,True
